texto; disc. token (%); disc. split (%); disc. etiquetas (%); numero de tokens para %;numero de tokens anotador 1; numero de tokens anotador 2; numero de split para %; numero de split anotador 1; numero de split anotador 2; POS disc. anotador1; POS disc. anotador2; pares discrepantes (POS anotador1 : POS anotador2);discrepancias POS (POS1 - token1 : POS2 - token2);
['es-S0210-48062006000100012-1.txt_tagged'];0,000;0,000;0,490;204;204;204;8;8;8;[('doppler - NP00000', 1)];[('doppler - NC00000', 1)];[('[ NP00000 : NC00000 ]', 1)];['[ NP00000 - doppler : NC00000 - doppler ]'];
['es-S0212-16112007000700016-1.txt_tagged'];0,122;0,000;1,946;822;824;824;25;25;25;[('derecho - AQ0MS0', 1), ('líquido - AQMS0', 1), ('a - NCFS000', 1), ('Hidratación - NCFS000', 1), ('Alimentación - NCFS000', 1), ('e - NCFS000', 1), ('Medicación - NCFS000', 1), ('grasas - NCFP000', 1), ('animales - AQ0FP0', 1), ('A - S', 1), ('alta - NCFS000', 1), ('Hospital_Ramón_y_Cajal - NP00000', 1), ('iniciada - VMP00SF', 1), ('bebidas - NCFP000', 1), ('lo - DA0NS0', 1), ('I - Z', 1)];[('derecho - NCMS000', 1), ('líquido - NCMS000', 1), ('a - SPS00', 1), ('Hidratación - NP00000', 1), ('Alimentación - NP00000', 1), ('e - CC', 1), ('Medicación - NP00000', 1), ('grasas - AQ0FP0', 1), ('animales - NCMP000', 1), ('A - SPS00', 1), ('alta - AQ0FS0', 1), ('Hospital_Ramón - NP00000', 1), ('iniciada - NCFS000', 1), ('bebidas - VMP00PF', 1), ('lo - PP3CNA00', 1), ('I - NC00000', 1)];[('[ NCFS000 : NP00000 ]', 3), ('[ AQ0MS0 : NCMS000 ]', 1), ('[ AQMS0 : NCMS000 ]', 1), ('[ NCFS000 : SPS00 ]', 1), ('[ NCFS000 : CC ]', 1), ('[ NCFP000 : AQ0FP0 ]', 1), ('[ AQ0FP0 : NCMP000 ]', 1), ('[ S : SPS00 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ NP00000 : NP00000 ]', 1), ('[ VMP00SF : NCFS000 ]', 1), ('[ NCFP000 : VMP00PF ]', 1), ('[ DA0NS0 : PP3CNA00 ]', 1), ('[ Z : NC00000 ]', 1)];['[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ AQMS0 - líquido : NCMS000 - líquido ]', '[ NCFS000 - a : SPS00 - a ]', '[ NCFS000 - Hidratación : NP00000 - Hidratación ]', '[ NCFS000 - Alimentación : NP00000 - Alimentación ]', '[ NCFS000 - e : CC - e ]', '[ NCFS000 - Medicación : NP00000 - Medicación ]', '[ NCFP000 - grasas : AQ0FP0 - grasas ]', '[ AQ0FP0 - animales : NCMP000 - animales ]', '[ S - A : SPS00 - A ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NP00000 - Hospital_Ramón_y_Cajal : NP00000 - Hospital_Ramón ]', '[ VMP00SF - iniciada : NCFS000 - iniciada ]', '[ NCFP000 - bebidas : VMP00PF - bebidas ]', '[ DA0NS0 - lo : PP3CNA00 - lo ]', '[ Z - I : NC00000 - I ]'];
['S0210-48062006000300014-1.txt_tagged'];0,000;0,000;1,441;902;902;902;31;31;31;[('Urea - NCFS000', 2), ('alta - NCFS000', 2), ('Gy - NC00000', 2), ('junto - RG', 1), ('mismo - PI0MS000', 1), ('Cromogranina - NCFS000', 1), ('Quimio-Radio-terapia - NCFS000', 1), ('derecha - AQ0FS0', 1), ('misma - PI0FS000', 1), ('derecho - AQ0MS0', 1)];[('Urea - NP00000', 2), ('alta - AQ0FS0', 2), ('Gy - NP00000', 2), ('junto - AQ0MS0', 1), ('mismo - AQ0MS0', 1), ('Cromogranina - NP00000', 1), ('Quimio-Radio-terapia - NP00000', 1), ('derecha - NCFS000', 1), ('misma - AQ0FS0', 1), ('derecho - NCMS000', 1)];[('[ NCFS000 : NP00000 ]', 4), ('[ NCFS000 : AQ0FS0 ]', 2), ('[ NC00000 : NP00000 ]', 2), ('[ RG : AQ0MS0 ]', 1), ('[ PI0MS000 : AQ0MS0 ]', 1), ('[ AQ0FS0 : NCFS000 ]', 1), ('[ PI0FS000 : AQ0FS0 ]', 1), ('[ AQ0MS0 : NCMS000 ]', 1)];['[ RG - junto : AQ0MS0 - junto ]', '[ NCFS000 - Urea : NP00000 - Urea ]', '[ NCFS000 - Urea : NP00000 - Urea ]', '[ PI0MS000 - mismo : AQ0MS0 - mismo ]', '[ NCFS000 - Cromogranina : NP00000 - Cromogranina ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - Quimio-Radio-terapia : NP00000 - Quimio-Radio-terapia ]', '[ NC00000 - Gy : NP00000 - Gy ]', '[ NC00000 - Gy : NP00000 - Gy ]', '[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ PI0FS000 - misma : AQ0FS0 - misma ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['es-S1130-01082009000400015-1.txt_tagged'];0,000;0,000;1,105;181;181;181;5;5;5;[('Paciente - AQ0CS0', 1), ('ulcus - NCMS000', 1)];[('Paciente - NCCS000', 1), ('ulcus - NC00000', 1)];[('[ AQ0CS0 : NCCS000 ]', 1), ('[ NCMS000 : NC00000 ]', 1)];['[ AQ0CS0 - Paciente : NCCS000 - Paciente ]', '[ NCMS000 - ulcus : NC00000 - ulcus ]'];
['es-S1130-01082007000400015-1.txt_tagged'];0,000;0,000;1,316;228;228;228;9;9;9;[('derecha - AQ0FS0', 1), ('derecho - AQ0MS0', 1), ('alta - NCFS000', 1)];[('derecha - NCFS000', 1), ('derecho - NCMS000', 1), ('alta - AQ0FS0', 1)];[('[ AQ0FS0 : NCFS000 ]', 1), ('[ AQ0MS0 : NCMS000 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1)];['[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['es-S0376-78922009000400002-1.txt_tagged'];0,000;0,000;0,415;241;241;241;10;10;10;[('complejo - AQ0MS0', 1)];[('complejo - NCMS000', 1)];[('[ AQ0MS0 : NCMS000 ]', 1)];['[ AQ0MS0 - complejo : NCMS000 - complejo ]'];
['S0365-66912004001100011-1.txt_tagged'];0,000;0,000;0,701;428;428;428;14;14;14;[('zoster - NP00000', 1), ('tyndall - NP00000', 1), ('triple - AQ0CS0', 1)];[('zoster - NCFS000', 1), ('tyndall - NC00000', 1), ('triple - NCMS000', 1)];[('[ NP00000 : NCFS000 ]', 1), ('[ NP00000 : NC00000 ]', 1), ('[ AQ0CS0 : NCMS000 ]', 1)];['[ NP00000 - zoster : NCFS000 - zoster ]', '[ NP00000 - tyndall : NC00000 - tyndall ]', '[ AQ0CS0 - triple : NCMS000 - triple ]'];
['S1134-80462008000500004-2.txt_tagged'];0,000;0,000;0,395;253;253;253;10;10;10;[('Padecimiento - NCMS000', 1)];[('Padecimiento - NP00000', 1)];[('[ NCMS000 : NP00000 ]', 1)];['[ NCMS000 - Padecimiento : NP00000 - Padecimiento ]'];
['es-S1130-63432015000100008-1.txt_tagged'];0,000;0,000;1,080;463;463;463;13;13;13;[('alta - NCFS000', 3), ('hidroclorotiazida - NCFS000', 2)];[('alta - AQ0FS0', 3), ('hidroclorotiazida - NCMS000', 2)];[('[ NCFS000 : AQ0FS0 ]', 3), ('[ NCFS000 : NCMS000 ]', 2)];['[ NCFS000 - hidroclorotiazida : NCMS000 - hidroclorotiazida ]', '[ NCFS000 - hidroclorotiazida : NCMS000 - hidroclorotiazida ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['es-S1137-66272009000500017-1.txt_tagged'];0,000;0,000;1,408;284;284;284;8;8;8;[('µg - NC00000', 2), ('alta - NCFS000', 1), ('ha - NC00000', 1)];[('µg - NCMS000', 2), ('alta - AQ0FS0', 1), ('ha - VAIP3S0', 1)];[('[ NC00000 : NCMS000 ]', 2), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ NC00000 : VAIP3S0 ]', 1)];['[ NC00000 - µg : NCMS000 - µg ]', '[ NC00000 - µg : NCMS000 - µg ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NC00000 - ha : VAIP3S0 - ha ]'];
['S1134-80462005000300007-1.txt_tagged'];0,000;0,000;1,220;492;492;492;16;16;16;[('alta - NCFS000', 2), ('Primigesta - NCFS000', 1), ('derecho - AQ0MS0', 1), ('mismo - PI0MS000', 1), ('plano - AQ0MS0', 1)];[('alta - AQ0FS0', 2), ('Primigesta - AQ0FS0', 1), ('derecho - NCMS000', 1), ('mismo - AQ0MS0', 1), ('plano - NCMS000', 1)];[('[ NCFS000 : AQ0FS0 ]', 3), ('[ AQ0MS0 : NCMS000 ]', 2), ('[ PI0MS000 : AQ0MS0 ]', 1)];['[ NCFS000 - Primigesta : AQ0FS0 - Primigesta ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ PI0MS000 - mismo : AQ0MS0 - mismo ]', '[ AQ0MS0 - plano : NCMS000 - plano ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
